255 0xFF 0b11111111     895 0x37F 0b1101111111    1535 0x5FF 0b10111111111   2175 0x87F 0b100001111111  2815 0xAFF 0b101011111111  3455 0xD7F 0b110101111111
357 0x165 0b101100101   997 0x3E5 0b1111100101    1637 0x665 0b11001100101   2277 0x8E5 0b100011100101  2917 0xB65 0b101101100101  3557 0xDE5 0b110111100101
358 0x166 0b101100110   998 0x3E6 0b1111100110    1638 0x666 0b11001100110   2278 0x8E6 0b100011100110  2918 0xB66 0b101101100110  3558 0xDE6 0b110111100110
359 0x167 0b101100111   999 0x3E7 0b1111100111    1639 0x667 0b11001100111   2279 0x8E7 0b100011100111  2919 0xB67 0b101101100111  3559 0xDE7 0b110111100111
360 0x168 0b101101000   1000 0x3E8 0b1111101000   1640 0x668 0b11001101000   2280 0x8E8 0b100011101000  2920 0xB68 0b101101101000  3560 0xDE8 0b110111101000
361 0x169 0b101101001   1001 0x3E9 0b1111101001   1641 0x669 0b11001101001   2281 0x8E9 0b100011101001  2921 0xB69 0b101101101001  3561 0xDE9 0b110111101001
362 0x16A 0b101101010   1002 0x3EA 0b1111101010   1642 0x66A 0b11001101010   2282 0x8EA 0b100011101010  2922 0xB6A 0b101101101010  3562 0xDEA 0b110111101010
363 0x16B 0b101101011   1003 0x3EB 0b1111101011   1643 0x66B 0b11001101011   2283 0x8EB 0b100011101011  2923 0xB6B 0b101101101011  3563 0xDEB 0b110111101011
364 0x16C 0b101101100   1004 0x3EC 0b1111101100   1644 0x66C 0b11001101100   2284 0x8EC 0b100011101100  2924 0xB6C 0b101101101100  3564 0xDEC 0b110111101100
365 0x16D 0b101101101   1005 0x3ED 0b1111101101   1645 0x66D 0b11001101101   2285 0x8ED 0b100011101101  2925 0xB6D 0b101101101101  3565 0xDED 0b110111101101
366 0x16E 0b101101110   1006 0x3EE 0b1111101110   1646 0x66E 0b11001101110   2286 0x8EE 0b100011101110  2926 0xB6E 0b101101101110  3566 0xDEE 0b110111101110
367 0x16F 0b101101111   1007 0x3EF 0b1111101111   1647 0x66F 0b11001101111   2287 0x8EF 0b100011101111  2927 0xB6F 0b101101101111  3567 0xDEF 0b110111101111
368 0x170 0b101110000   1008 0x3F0 0b1111110000   1648 0x670 0b11001110000   2288 0x8F0 0b100011110000  2928 0xB70 0b101101110000  3568 0xDF0 0b110111110000
369 0x171 0b101110001   1009 0x3F1 0b1111110001   1649 0x671 0b11001110001   2289 0x8F1 0b100011110001  2929 0xB71 0b101101110001  3569 0xDF1 0b110111110001
370 0x172 0b101110010   1010 0x3F2 0b1111110010   1650 0x672 0b11001110010   2290 0x8F2 0b100011110010  2930 0xB72 0b101101110010  3570 0xDF2 0b110111110010
371 0x173 0b101110011   1011 0x3F3 0b1111110011   1651 0x673 0b11001110011   2291 0x8F3 0b100011110011  2931 0xB73 0b101101110011  3571 0xDF3 0b110111110011
372 0x174 0b101110100   1012 0x3F4 0b1111110100   1652 0x674 0b11001110100   2292 0x8F4 0b100011110100  2932 0xB74 0b101101110100  3572 0xDF4 0b110111110100
373 0x175 0b101110101   1013 0x3F5 0b1111110101   1653 0x675 0b11001110101   2293 0x8F5 0b100011110101  2933 0xB75 0b101101110101  3573 0xDF5 0b110111110101
374 0x176 0b101110110   1014 0x3F6 0b1111110110   1654 0x676 0b11001110110   2294 0x8F6 0b100011110110  2934 0xB76 0b101101110110  3574 0xDF6 0b110111110110
375 0x177 0b101110111   1015 0x3F7 0b1111110111   1655 0x677 0b11001110111   2295 0x8F7 0b100011110111  2935 0xB77 0b101101110111  3575 0xDF7 0b110111110111
376 0x178 0b101111000   1016 0x3F8 0b1111111000   1656 0x678 0b11001111000   2296 0x8F8 0b100011111000  2936 0xB78 0b101101111000  3576 0xDF8 0b110111111000
377 0x179 0b101111001   1017 0x3F9 0b1111111001   1657 0x679 0b11001111001   2297 0x8F9 0b100011111001  2937 0xB79 0b101101111001  3577 0xDF9 0b110111111001
378 0x17A 0b101111010   1018 0x3FA 0b1111111010   1658 0x67A 0b11001111010   2298 0x8FA 0b100011111010  2938 0xB7A 0b101101111010  3578 0xDFA 0b110111111010
379 0x17B 0b101111011   1019 0x3FB 0b1111111011   1659 0x67B 0b11001111011   2299 0x8FB 0b100011111011  2939 0xB7B 0b101101111011  3579 0xDFB 0b110111111011
380 0x17C 0b101111100   1020 0x3FC 0b1111111100   1660 0x67C 0b11001111100   2300 0x8FC 0b100011111100  2940 0xB7C 0b101101111100  3580 0xDFC 0b110111111100
381 0x17D 0b101111101   1021 0x3FD 0b1111111101   1661 0x67D 0b11001111101   2301 0x8FD 0b100011111101  2941 0xB7D 0b101101111101  3581 0xDFD 0b110111111101
382 0x17E 0b101111110   1022 0x3FE 0b1111111110   1662 0x67E 0b11001111110   2302 0x8FE 0b100011111110  2942 0xB7E 0b101101111110  3582 0xDFE 0b110111111110
383 0x17F 0b101111111   1023 0x3FF 0b1111111111   1663 0x67F 0b11001111111   2303 0x8FF 0b100011111111  2943 0xB7F 0b101101111111  3583 0xDFF 0b110111111111
384 0x180 0b110000000   1024 0x400 0b10000000000  1664 0x680 0b11010000000   2304 0x900 0b100100000000  2944 0xB80 0b101110000000  3584 0xE00 0b111000000000
385 0x181 0b110000001   1025 0x401 0b10000000001  1665 0x681 0b11010000001   2305 0x901 0b100100000001  2945 0xB81 0b101110000001  3585 0xE01 0b111000000001
