255 0xFF 0b11111111     895 0x37F 0b1101111111    1535 0x5FF 0b10111111111   2175 0x87F 0b100001111111  2815 0xAFF 0b101011111111  3455 0xD7F 0b110101111111
715 0x2CB 0b1011001011  1355 0x54B 0b10101001011  1995 0x7CB 0b11111001011   2635 0xA4B 0b101001001011  3275 0xCCB 0b110011001011  3915 0xF4B 0b111101001011
716 0x2CC 0b1011001100  1356 0x54C 0b10101001100  1996 0x7CC 0b11111001100   2636 0xA4C 0b101001001100  3276 0xCCC 0b110011001100  3916 0xF4C 0b111101001100
717 0x2CD 0b1011001101  1357 0x54D 0b10101001101  1997 0x7CD 0b11111001101   2637 0xA4D 0b101001001101  3277 0xCCD 0b110011001101  3917 0xF4D 0b111101001101
718 0x2CE 0b1011001110  1358 0x54E 0b10101001110  1998 0x7CE 0b11111001110   2638 0xA4E 0b101001001110  3278 0xCCE 0b110011001110  3918 0xF4E 0b111101001110
719 0x2CF 0b1011001111  1359 0x54F 0b10101001111  1999 0x7CF 0b11111001111   2639 0xA4F 0b101001001111  3279 0xCCF 0b110011001111  3919 0xF4F 0b111101001111
720 0x2D0 0b1011010000  1360 0x550 0b10101010000  2000 0x7D0 0b11111010000   2640 0xA50 0b101001010000  3280 0xCD0 0b110011010000  3920 0xF50 0b111101010000
721 0x2D1 0b1011010001  1361 0x551 0b10101010001  2001 0x7D1 0b11111010001   2641 0xA51 0b101001010001  3281 0xCD1 0b110011010001  3921 0xF51 0b111101010001
722 0x2D2 0b1011010010  1362 0x552 0b10101010010  2002 0x7D2 0b11111010010   2642 0xA52 0b101001010010  3282 0xCD2 0b110011010010  3922 0xF52 0b111101010010
723 0x2D3 0b1011010011  1363 0x553 0b10101010011  2003 0x7D3 0b11111010011   2643 0xA53 0b101001010011  3283 0xCD3 0b110011010011  3923 0xF53 0b111101010011
724 0x2D4 0b1011010100  1364 0x554 0b10101010100  2004 0x7D4 0b11111010100   2644 0xA54 0b101001010100  3284 0xCD4 0b110011010100  3924 0xF54 0b111101010100
725 0x2D5 0b1011010101  1365 0x555 0b10101010101  2005 0x7D5 0b11111010101   2645 0xA55 0b101001010101  3285 0xCD5 0b110011010101  3925 0xF55 0b111101010101
726 0x2D6 0b1011010110  1366 0x556 0b10101010110  2006 0x7D6 0b11111010110   2646 0xA56 0b101001010110  3286 0xCD6 0b110011010110  3926 0xF56 0b111101010110
727 0x2D7 0b1011010111  1367 0x557 0b10101010111  2007 0x7D7 0b11111010111   2647 0xA57 0b101001010111  3287 0xCD7 0b110011010111  3927 0xF57 0b111101010111
728 0x2D8 0b1011011000  1368 0x558 0b10101011000  2008 0x7D8 0b11111011000   2648 0xA58 0b101001011000  3288 0xCD8 0b110011011000  3928 0xF58 0b111101011000
729 0x2D9 0b1011011001  1369 0x559 0b10101011001  2009 0x7D9 0b11111011001   2649 0xA59 0b101001011001  3289 0xCD9 0b110011011001  3929 0xF59 0b111101011001
730 0x2DA 0b1011011010  1370 0x55A 0b10101011010  2010 0x7DA 0b11111011010   2650 0xA5A 0b101001011010  3290 0xCDA 0b110011011010  3930 0xF5A 0b111101011010
731 0x2DB 0b1011011011  1371 0x55B 0b10101011011  2011 0x7DB 0b11111011011   2651 0xA5B 0b101001011011  3291 0xCDB 0b110011011011  3931 0xF5B 0b111101011011
732 0x2DC 0b1011011100  1372 0x55C 0b10101011100  2012 0x7DC 0b11111011100   2652 0xA5C 0b101001011100  3292 0xCDC 0b110011011100  3932 0xF5C 0b111101011100
733 0x2DD 0b1011011101  1373 0x55D 0b10101011101  2013 0x7DD 0b11111011101   2653 0xA5D 0b101001011101  3293 0xCDD 0b110011011101  3933 0xF5D 0b111101011101
734 0x2DE 0b1011011110  1374 0x55E 0b10101011110  2014 0x7DE 0b11111011110   2654 0xA5E 0b101001011110  3294 0xCDE 0b110011011110  3934 0xF5E 0b111101011110
735 0x2DF 0b1011011111  1375 0x55F 0b10101011111  2015 0x7DF 0b11111011111   2655 0xA5F 0b101001011111  3295 0xCDF 0b110011011111  3935 0xF5F 0b111101011111
736 0x2E0 0b1011100000  1376 0x560 0b10101100000  2016 0x7E0 0b11111100000   2656 0xA60 0b101001100000  3296 0xCE0 0b110011100000  3936 0xF60 0b111101100000
737 0x2E1 0b1011100001  1377 0x561 0b10101100001  2017 0x7E1 0b11111100001   2657 0xA61 0b101001100001  3297 0xCE1 0b110011100001  3937 0xF61 0b111101100001
738 0x2E2 0b1011100010  1378 0x562 0b10101100010  2018 0x7E2 0b11111100010   2658 0xA62 0b101001100010  3298 0xCE2 0b110011100010  3938 0xF62 0b111101100010
739 0x2E3 0b1011100011  1379 0x563 0b10101100011  2019 0x7E3 0b11111100011   2659 0xA63 0b101001100011  3299 0xCE3 0b110011100011  3939 0xF63 0b111101100011
740 0x2E4 0b1011100100  1380 0x564 0b10101100100  2020 0x7E4 0b11111100100   2660 0xA64 0b101001100100  3300 0xCE4 0b110011100100  3940 0xF64 0b111101100100
741 0x2E5 0b1011100101  1381 0x565 0b10101100101  2021 0x7E5 0b11111100101   2661 0xA65 0b101001100101  3301 0xCE5 0b110011100101  3941 0xF65 0b111101100101
742 0x2E6 0b1011100110  1382 0x566 0b10101100110  2022 0x7E6 0b11111100110   2662 0xA66 0b101001100110  3302 0xCE6 0b110011100110  3942 0xF66 0b111101100110
743 0x2E7 0b1011100111  1383 0x567 0b10101100111  2023 0x7E7 0b11111100111   2663 0xA67 0b101001100111  3303 0xCE7 0b110011100111  3943 0xF67 0b111101100111
744 0x2E8 0b1011101000  1384 0x568 0b10101101000  2024 0x7E8 0b11111101000   2664 0xA68 0b101001101000  3304 0xCE8 0b110011101000  3944 0xF68 0b111101101000
745 0x2E9 0b1011101001  1385 0x569 0b10101101001  2025 0x7E9 0b11111101001   2665 0xA69 0b101001101001  3305 0xCE9 0b110011101001  3945 0xF69 0b111101101001
746 0x2EA 0b1011101010  1386 0x56A 0b10101101010  2026 0x7EA 0b11111101010   2666 0xA6A 0b101001101010  3306 0xCEA 0b110011101010  3946 0xF6A 0b111101101010
747 0x2EB 0b1011101011  1387 0x56B 0b10101101011  2027 0x7EB 0b11111101011   2667 0xA6B 0b101001101011  3307 0xCEB 0b110011101011  3947 0xF6B 0b111101101011
748 0x2EC 0b1011101100  1388 0x56C 0b10101101100  2028 0x7EC 0b11111101100   2668 0xA6C 0b101001101100  3308 0xCEC 0b110011101100  3948 0xF6C 0b111101101100
749 0x2ED 0b1011101101  1389 0x56D 0b10101101101  2029 0x7ED 0b11111101101   2669 0xA6D 0b101001101101  3309 0xCED 0b110011101101  3949 0xF6D 0b111101101101
750 0x2EE 0b1011101110  1390 0x56E 0b10101101110  2030 0x7EE 0b11111101110   2670 0xA6E 0b101001101110  3310 0xCEE 0b110011101110  3950 0xF6E 0b111101101110
751 0x2EF 0b1011101111  1391 0x56F 0b10101101111  2031 0x7EF 0b11111101111   2671 0xA6F 0b101001101111  3311 0xCEF 0b110011101111  3951 0xF6F 0b111101101111
752 0x2F0 0b1011110000  1392 0x570 0b10101110000  2032 0x7F0 0b11111110000   2672 0xA70 0b101001110000  3312 0xCF0 0b110011110000  3952 0xF70 0b111101110000
753 0x2F1 0b1011110001  1393 0x571 0b10101110001  2033 0x7F1 0b11111110001   2673 0xA71 0b101001110001  3313 0xCF1 0b110011110001  3953 0xF71 0b111101110001
754 0x2F2 0b1011110010  1394 0x572 0b10101110010  2034 0x7F2 0b11111110010   2674 0xA72 0b101001110010  3314 0xCF2 0b110011110010  3954 0xF72 0b111101110010
755 0x2F3 0b1011110011  1395 0x573 0b10101110011  2035 0x7F3 0b11111110011   2675 0xA73 0b101001110011  3315 0xCF3 0b110011110011  3955 0xF73 0b111101110011
756 0x2F4 0b1011110100  1396 0x574 0b10101110100  2036 0x7F4 0b11111110100   2676 0xA74 0b101001110100  3316 0xCF4 0b110011110100  3956 0xF74 0b111101110100
757 0x2F5 0b1011110101  1397 0x575 0b10101110101  2037 0x7F5 0b11111110101   2677 0xA75 0b101001110101  3317 0xCF5 0b110011110101  3957 0xF75 0b111101110101
758 0x2F6 0b1011110110  1398 0x576 0b10101110110  2038 0x7F6 0b11111110110   2678 0xA76 0b101001110110  3318 0xCF6 0b110011110110  3958 0xF76 0b111101110110
759 0x2F7 0b1011110111  1399 0x577 0b10101110111  2039 0x7F7 0b11111110111   2679 0xA77 0b101001110111  3319 0xCF7 0b110011110111  3959 0xF77 0b111101110111
760 0x2F8 0b1011111000  1400 0x578 0b10101111000  2040 0x7F8 0b11111111000   2680 0xA78 0b101001111000  3320 0xCF8 0b110011111000  3960 0xF78 0b111101111000
761 0x2F9 0b1011111001  1401 0x579 0b10101111001  2041 0x7F9 0b11111111001   2681 0xA79 0b101001111001  3321 0xCF9 0b110011111001  3961 0xF79 0b111101111001
762 0x2FA 0b1011111010  1402 0x57A 0b10101111010  2042 0x7FA 0b11111111010   2682 0xA7A 0b101001111010  3322 0xCFA 0b110011111010  3962 0xF7A 0b111101111010
763 0x2FB 0b1011111011  1403 0x57B 0b10101111011  2043 0x7FB 0b11111111011   2683 0xA7B 0b101001111011  3323 0xCFB 0b110011111011  3963 0xF7B 0b111101111011
764 0x2FC 0b1011111100  1404 0x57C 0b10101111100  2044 0x7FC 0b11111111100   2684 0xA7C 0b101001111100  3324 0xCFC 0b110011111100  3964 0xF7C 0b111101111100
765 0x2FD 0b1011111101  1405 0x57D 0b10101111101  2045 0x7FD 0b11111111101   2685 0xA7D 0b101001111101  3325 0xCFD 0b110011111101  3965 0xF7D 0b111101111101
766 0x2FE 0b1011111110  1406 0x57E 0b10101111110  2046 0x7FE 0b11111111110   2686 0xA7E 0b101001111110  3326 0xCFE 0b110011111110  3966 0xF7E 0b111101111110
767 0x2FF 0b1011111111  1407 0x57F 0b10101111111  2047 0x7FF 0b11111111111   2687 0xA7F 0b101001111111  3327 0xCFF 0b110011111111  3967 0xF7F 0b111101111111
768 0x300 0b1100000000  1408 0x580 0b10110000000  2048 0x800 0b100000000000  2688 0xA80 0b101010000000  3328 0xD00 0b110100000000  3968 0xF80 0b111110000000
769 0x301 0b1100000001  1409 0x581 0b10110000001  2049 0x801 0b100000000001  2689 0xA81 0b101010000001  3329 0xD01 0b110100000001  3969 0xF81 0b111110000001
770 0x302 0b1100000010  1410 0x582 0b10110000010  2050 0x802 0b100000000010  2690 0xA82 0b101010000010  3330 0xD02 0b110100000010  3970 0xF82 0b111110000010
771 0x303 0b1100000011  1411 0x583 0b10110000011  2051 0x803 0b100000000011  2691 0xA83 0b101010000011  3331 0xD03 0b110100000011  3971 0xF83 0b111110000011
772 0x304 0b1100000100  1412 0x584 0b10110000100  2052 0x804 0b100000000100  2692 0xA84 0b101010000100  3332 0xD04 0b110100000100  3972 0xF84 0b111110000100
773 0x305 0b1100000101  1413 0x585 0b10110000101  2053 0x805 0b100000000101  2693 0xA85 0b101010000101  3333 0xD05 0b110100000101  3973 0xF85 0b111110000101
774 0x306 0b1100000110  1414 0x586 0b10110000110  2054 0x806 0b100000000110  2694 0xA86 0b101010000110  3334 0xD06 0b110100000110  3974 0xF86 0b111110000110
775 0x307 0b1100000111  1415 0x587 0b10110000111  2055 0x807 0b100000000111  2695 0xA87 0b101010000111  3335 0xD07 0b110100000111  3975 0xF87 0b111110000111
776 0x308 0b1100001000  1416 0x588 0b10110001000  2056 0x808 0b100000001000  2696 0xA88 0b101010001000  3336 0xD08 0b110100001000  3976 0xF88 0b111110001000
777 0x309 0b1100001001  1417 0x589 0b10110001001  2057 0x809 0b100000001001  2697 0xA89 0b101010001001  3337 0xD09 0b110100001001  3977 0xF89 0b111110001001
778 0x30A 0b1100001010  1418 0x58A 0b10110001010  2058 0x80A 0b100000001010  2698 0xA8A 0b101010001010  3338 0xD0A 0b110100001010  3978 0xF8A 0b111110001010
779 0x30B 0b1100001011  1419 0x58B 0b10110001011  2059 0x80B 0b100000001011  2699 0xA8B 0b101010001011  3339 0xD0B 0b110100001011  3979 0xF8B 0b111110001011
780 0x30C 0b1100001100  1420 0x58C 0b10110001100  2060 0x80C 0b100000001100  2700 0xA8C 0b101010001100  3340 0xD0C 0b110100001100  3980 0xF8C 0b111110001100
781 0x30D 0b1100001101  1421 0x58D 0b10110001101  2061 0x80D 0b100000001101  2701 0xA8D 0b101010001101  3341 0xD0D 0b110100001101  3981 0xF8D 0b111110001101
782 0x30E 0b1100001110  1422 0x58E 0b10110001110  2062 0x80E 0b100000001110  2702 0xA8E 0b101010001110  3342 0xD0E 0b110100001110  3982 0xF8E 0b111110001110
783 0x30F 0b1100001111  1423 0x58F 0b10110001111  2063 0x80F 0b100000001111  2703 0xA8F 0b101010001111  3343 0xD0F 0b110100001111  3983 0xF8F 0b111110001111
784 0x310 0b1100010000  1424 0x590 0b10110010000  2064 0x810 0b100000010000  2704 0xA90 0b101010010000  3344 0xD10 0b110100010000  3984 0xF90 0b111110010000
785 0x311 0b1100010001  1425 0x591 0b10110010001  2065 0x811 0b100000010001  2705 0xA91 0b101010010001  3345 0xD11 0b110100010001  3985 0xF91 0b111110010001
786 0x312 0b1100010010  1426 0x592 0b10110010010  2066 0x812 0b100000010010  2706 0xA92 0b101010010010  3346 0xD12 0b110100010010  3986 0xF92 0b111110010010
787 0x313 0b1100010011  1427 0x593 0b10110010011  2067 0x813 0b100000010011  2707 0xA93 0b101010010011  3347 0xD13 0b110100010011  3987 0xF93 0b111110010011
788 0x314 0b1100010100  1428 0x594 0b10110010100  2068 0x814 0b100000010100  2708 0xA94 0b101010010100  3348 0xD14 0b110100010100  3988 0xF94 0b111110010100
789 0x315 0b1100010101  1429 0x595 0b10110010101  2069 0x815 0b100000010101  2709 0xA95 0b101010010101  3349 0xD15 0b110100010101  3989 0xF95 0b111110010101
790 0x316 0b1100010110  1430 0x596 0b10110010110  2070 0x816 0b100000010110  2710 0xA96 0b101010010110  3350 0xD16 0b110100010110  3990 0xF96 0b111110010110
791 0x317 0b1100010111  1431 0x597 0b10110010111  2071 0x817 0b100000010111  2711 0xA97 0b101010010111  3351 0xD17 0b110100010111  3991 0xF97 0b111110010111
792 0x318 0b1100011000  1432 0x598 0b10110011000  2072 0x818 0b100000011000  2712 0xA98 0b101010011000  3352 0xD18 0b110100011000  3992 0xF98 0b111110011000
793 0x319 0b1100011001  1433 0x599 0b10110011001  2073 0x819 0b100000011001  2713 0xA99 0b101010011001  3353 0xD19 0b110100011001  3993 0xF99 0b111110011001
794 0x31A 0b1100011010  1434 0x59A 0b10110011010  2074 0x81A 0b100000011010  2714 0xA9A 0b101010011010  3354 0xD1A 0b110100011010  3994 0xF9A 0b111110011010
795 0x31B 0b1100011011  1435 0x59B 0b10110011011  2075 0x81B 0b100000011011  2715 0xA9B 0b101010011011  3355 0xD1B 0b110100011011  3995 0xF9B 0b111110011011
796 0x31C 0b1100011100  1436 0x59C 0b10110011100  2076 0x81C 0b100000011100  2716 0xA9C 0b101010011100  3356 0xD1C 0b110100011100  3996 0xF9C 0b111110011100
797 0x31D 0b1100011101  1437 0x59D 0b10110011101  2077 0x81D 0b100000011101  2717 0xA9D 0b101010011101  3357 0xD1D 0b110100011101  3997 0xF9D 0b111110011101
798 0x31E 0b1100011110  1438 0x59E 0b10110011110  2078 0x81E 0b100000011110  2718 0xA9E 0b101010011110  3358 0xD1E 0b110100011110  3998 0xF9E 0b111110011110
799 0x31F 0b1100011111  1439 0x59F 0b10110011111  2079 0x81F 0b100000011111  2719 0xA9F 0b101010011111  3359 0xD1F 0b110100011111  3999 0xF9F 0b111110011111
800 0x320 0b1100100000  1440 0x5A0 0b10110100000  2080 0x820 0b100000100000  2720 0xAA0 0b101010100000  3360 0xD20 0b110100100000  4000 0xFA0 0b111110100000
801 0x321 0b1100100001  1441 0x5A1 0b10110100001  2081 0x821 0b100000100001  2721 0xAA1 0b101010100001  3361 0xD21 0b110100100001  4001 0xFA1 0b111110100001
802 0x322 0b1100100010  1442 0x5A2 0b10110100010  2082 0x822 0b100000100010  2722 0xAA2 0b101010100010  3362 0xD22 0b110100100010  4002 0xFA2 0b111110100010
803 0x323 0b1100100011  1443 0x5A3 0b10110100011  2083 0x823 0b100000100011  2723 0xAA3 0b101010100011  3363 0xD23 0b110100100011  4003 0xFA3 0b111110100011
804 0x324 0b1100100100  1444 0x5A4 0b10110100100  2084 0x824 0b100000100100  2724 0xAA4 0b101010100100  3364 0xD24 0b110100100100  4004 0xFA4 0b111110100100
805 0x325 0b1100100101  1445 0x5A5 0b10110100101  2085 0x825 0b100000100101  2725 0xAA5 0b101010100101  3365 0xD25 0b110100100101  4005 0xFA5 0b111110100101
806 0x326 0b1100100110  1446 0x5A6 0b10110100110  2086 0x826 0b100000100110  2726 0xAA6 0b101010100110  3366 0xD26 0b110100100110  4006 0xFA6 0b111110100110
807 0x327 0b1100100111  1447 0x5A7 0b10110100111  2087 0x827 0b100000100111  2727 0xAA7 0b101010100111  3367 0xD27 0b110100100111  4007 0xFA7 0b111110100111
808 0x328 0b1100101000  1448 0x5A8 0b10110101000  2088 0x828 0b100000101000  2728 0xAA8 0b101010101000  3368 0xD28 0b110100101000  4008 0xFA8 0b111110101000
809 0x329 0b1100101001  1449 0x5A9 0b10110101001  2089 0x829 0b100000101001  2729 0xAA9 0b101010101001  3369 0xD29 0b110100101001  4009 0xFA9 0b111110101001
810 0x32A 0b1100101010  1450 0x5AA 0b10110101010  2090 0x82A 0b100000101010  2730 0xAAA 0b101010101010  3370 0xD2A 0b110100101010  4010 0xFAA 0b111110101010
811 0x32B 0b1100101011  1451 0x5AB 0b10110101011  2091 0x82B 0b100000101011  2731 0xAAB 0b101010101011  3371 0xD2B 0b110100101011  4011 0xFAB 0b111110101011
812 0x32C 0b1100101100  1452 0x5AC 0b10110101100  2092 0x82C 0b100000101100  2732 0xAAC 0b101010101100  3372 0xD2C 0b110100101100  4012 0xFAC 0b111110101100
813 0x32D 0b1100101101  1453 0x5AD 0b10110101101  2093 0x82D 0b100000101101  2733 0xAAD 0b101010101101  3373 0xD2D 0b110100101101  4013 0xFAD 0b111110101101
814 0x32E 0b1100101110  1454 0x5AE 0b10110101110  2094 0x82E 0b100000101110  2734 0xAAE 0b101010101110  3374 0xD2E 0b110100101110  4014 0xFAE 0b111110101110
815 0x32F 0b1100101111  1455 0x5AF 0b10110101111  2095 0x82F 0b100000101111  2735 0xAAF 0b101010101111  3375 0xD2F 0b110100101111  4015 0xFAF 0b111110101111
816 0x330 0b1100110000  1456 0x5B0 0b10110110000  2096 0x830 0b100000110000  2736 0xAB0 0b101010110000  3376 0xD30 0b110100110000  4016 0xFB0 0b111110110000
817 0x331 0b1100110001  1457 0x5B1 0b10110110001  2097 0x831 0b100000110001  2737 0xAB1 0b101010110001  3377 0xD31 0b110100110001  4017 0xFB1 0b111110110001
818 0x332 0b1100110010  1458 0x5B2 0b10110110010  2098 0x832 0b100000110010  2738 0xAB2 0b101010110010  3378 0xD32 0b110100110010  4018 0xFB2 0b111110110010
819 0x333 0b1100110011  1459 0x5B3 0b10110110011  2099 0x833 0b100000110011  2739 0xAB3 0b101010110011  3379 0xD33 0b110100110011  4019 0xFB3 0b111110110011
820 0x334 0b1100110100  1460 0x5B4 0b10110110100  2100 0x834 0b100000110100  2740 0xAB4 0b101010110100  3380 0xD34 0b110100110100  4020 0xFB4 0b111110110100
821 0x335 0b1100110101  1461 0x5B5 0b10110110101  2101 0x835 0b100000110101  2741 0xAB5 0b101010110101  3381 0xD35 0b110100110101  4021 0xFB5 0b111110110101
822 0x336 0b1100110110  1462 0x5B6 0b10110110110  2102 0x836 0b100000110110  2742 0xAB6 0b101010110110  3382 0xD36 0b110100110110  4022 0xFB6 0b111110110110
823 0x337 0b1100110111  1463 0x5B7 0b10110110111  2103 0x837 0b100000110111  2743 0xAB7 0b101010110111  3383 0xD37 0b110100110111  4023 0xFB7 0b111110110111
824 0x338 0b1100111000  1464 0x5B8 0b10110111000  2104 0x838 0b100000111000  2744 0xAB8 0b101010111000  3384 0xD38 0b110100111000  4024 0xFB8 0b111110111000
825 0x339 0b1100111001  1465 0x5B9 0b10110111001  2105 0x839 0b100000111001  2745 0xAB9 0b101010111001  3385 0xD39 0b110100111001  4025 0xFB9 0b111110111001
826 0x33A 0b1100111010  1466 0x5BA 0b10110111010  2106 0x83A 0b100000111010  2746 0xABA 0b101010111010  3386 0xD3A 0b110100111010  4026 0xFBA 0b111110111010
827 0x33B 0b1100111011  1467 0x5BB 0b10110111011  2107 0x83B 0b100000111011  2747 0xABB 0b101010111011  3387 0xD3B 0b110100111011  4027 0xFBB 0b111110111011
828 0x33C 0b1100111100  1468 0x5BC 0b10110111100  2108 0x83C 0b100000111100  2748 0xABC 0b101010111100  3388 0xD3C 0b110100111100  4028 0xFBC 0b111110111100
829 0x33D 0b1100111101  1469 0x5BD 0b10110111101  2109 0x83D 0b100000111101  2749 0xABD 0b101010111101  3389 0xD3D 0b110100111101  4029 0xFBD 0b111110111101
830 0x33E 0b1100111110  1470 0x5BE 0b10110111110  2110 0x83E 0b100000111110  2750 0xABE 0b101010111110  3390 0xD3E 0b110100111110  4030 0xFBE 0b111110111110
831 0x33F 0b1100111111  1471 0x5BF 0b10110111111  2111 0x83F 0b100000111111  2751 0xABF 0b101010111111  3391 0xD3F 0b110100111111  4031 0xFBF 0b111110111111
832 0x340 0b1101000000  1472 0x5C0 0b10111000000  2112 0x840 0b100001000000  2752 0xAC0 0b101011000000  3392 0xD40 0b110101000000  4032 0xFC0 0b111111000000
833 0x341 0b1101000001  1473 0x5C1 0b10111000001  2113 0x841 0b100001000001  2753 0xAC1 0b101011000001  3393 0xD41 0b110101000001  4033 0xFC1 0b111111000001
834 0x342 0b1101000010  1474 0x5C2 0b10111000010  2114 0x842 0b100001000010  2754 0xAC2 0b101011000010  3394 0xD42 0b110101000010  4034 0xFC2 0b111111000010
835 0x343 0b1101000011  1475 0x5C3 0b10111000011  2115 0x843 0b100001000011  2755 0xAC3 0b101011000011  3395 0xD43 0b110101000011  4035 0xFC3 0b111111000011
836 0x344 0b1101000100  1476 0x5C4 0b10111000100  2116 0x844 0b100001000100  2756 0xAC4 0b101011000100  3396 0xD44 0b110101000100  4036 0xFC4 0b111111000100
837 0x345 0b1101000101  1477 0x5C5 0b10111000101  2117 0x845 0b100001000101  2757 0xAC5 0b101011000101  3397 0xD45 0b110101000101  4037 0xFC5 0b111111000101
838 0x346 0b1101000110  1478 0x5C6 0b10111000110  2118 0x846 0b100001000110  2758 0xAC6 0b101011000110  3398 0xD46 0b110101000110  4038 0xFC6 0b111111000110
839 0x347 0b1101000111  1479 0x5C7 0b10111000111  2119 0x847 0b100001000111  2759 0xAC7 0b101011000111  3399 0xD47 0b110101000111  4039 0xFC7 0b111111000111
840 0x348 0b1101001000  1480 0x5C8 0b10111001000  2120 0x848 0b100001001000  2760 0xAC8 0b101011001000  3400 0xD48 0b110101001000  4040 0xFC8 0b111111001000
841 0x349 0b1101001001  1481 0x5C9 0b10111001001  2121 0x849 0b100001001001  2761 0xAC9 0b101011001001  3401 0xD49 0b110101001001  4041 0xFC9 0b111111001001
842 0x34A 0b1101001010  1482 0x5CA 0b10111001010  2122 0x84A 0b100001001010  2762 0xACA 0b101011001010  3402 0xD4A 0b110101001010  4042 0xFCA 0b111111001010
843 0x34B 0b1101001011  1483 0x5CB 0b10111001011  2123 0x84B 0b100001001011  2763 0xACB 0b101011001011  3403 0xD4B 0b110101001011  4043 0xFCB 0b111111001011
844 0x34C 0b1101001100  1484 0x5CC 0b10111001100  2124 0x84C 0b100001001100  2764 0xACC 0b101011001100  3404 0xD4C 0b110101001100  4044 0xFCC 0b111111001100
845 0x34D 0b1101001101  1485 0x5CD 0b10111001101  2125 0x84D 0b100001001101  2765 0xACD 0b101011001101  3405 0xD4D 0b110101001101  4045 0xFCD 0b111111001101
846 0x34E 0b1101001110  1486 0x5CE 0b10111001110  2126 0x84E 0b100001001110  2766 0xACE 0b101011001110  3406 0xD4E 0b110101001110  4046 0xFCE 0b111111001110
847 0x34F 0b1101001111  1487 0x5CF 0b10111001111  2127 0x84F 0b100001001111  2767 0xACF 0b101011001111  3407 0xD4F 0b110101001111  4047 0xFCF 0b111111001111
848 0x350 0b1101010000  1488 0x5D0 0b10111010000  2128 0x850 0b100001010000  2768 0xAD0 0b101011010000  3408 0xD50 0b110101010000  4048 0xFD0 0b111111010000
849 0x351 0b1101010001  1489 0x5D1 0b10111010001  2129 0x851 0b100001010001  2769 0xAD1 0b101011010001  3409 0xD51 0b110101010001  4049 0xFD1 0b111111010001
850 0x352 0b1101010010  1490 0x5D2 0b10111010010  2130 0x852 0b100001010010  2770 0xAD2 0b101011010010  3410 0xD52 0b110101010010  4050 0xFD2 0b111111010010
851 0x353 0b1101010011  1491 0x5D3 0b10111010011  2131 0x853 0b100001010011  2771 0xAD3 0b101011010011  3411 0xD53 0b110101010011  4051 0xFD3 0b111111010011
852 0x354 0b1101010100  1492 0x5D4 0b10111010100  2132 0x854 0b100001010100  2772 0xAD4 0b101011010100  3412 0xD54 0b110101010100  4052 0xFD4 0b111111010100
853 0x355 0b1101010101  1493 0x5D5 0b10111010101  2133 0x855 0b100001010101  2773 0xAD5 0b101011010101  3413 0xD55 0b110101010101  4053 0xFD5 0b111111010101
854 0x356 0b1101010110  1494 0x5D6 0b10111010110  2134 0x856 0b100001010110  2774 0xAD6 0b101011010110  3414 0xD56 0b110101010110  4054 0xFD6 0b111111010110
855 0x357 0b1101010111  1495 0x5D7 0b10111010111  2135 0x857 0b100001010111  2775 0xAD7 0b101011010111  3415 0xD57 0b110101010111  4055 0xFD7 0b111111010111
856 0x358 0b1101011000  1496 0x5D8 0b10111011000  2136 0x858 0b100001011000  2776 0xAD8 0b101011011000  3416 0xD58 0b110101011000  4056 0xFD8 0b111111011000
857 0x359 0b1101011001  1497 0x5D9 0b10111011001  2137 0x859 0b100001011001  2777 0xAD9 0b101011011001  3417 0xD59 0b110101011001  4057 0xFD9 0b111111011001
858 0x35A 0b1101011010  1498 0x5DA 0b10111011010  2138 0x85A 0b100001011010  2778 0xADA 0b101011011010  3418 0xD5A 0b110101011010  4058 0xFDA 0b111111011010
859 0x35B 0b1101011011  1499 0x5DB 0b10111011011  2139 0x85B 0b100001011011  2779 0xADB 0b101011011011  3419 0xD5B 0b110101011011  4059 0xFDB 0b111111011011
860 0x35C 0b1101011100  1500 0x5DC 0b10111011100  2140 0x85C 0b100001011100  2780 0xADC 0b101011011100  3420 0xD5C 0b110101011100  4060 0xFDC 0b111111011100
861 0x35D 0b1101011101  1501 0x5DD 0b10111011101  2141 0x85D 0b100001011101  2781 0xADD 0b101011011101  3421 0xD5D 0b110101011101  4061 0xFDD 0b111111011101
862 0x35E 0b1101011110  1502 0x5DE 0b10111011110  2142 0x85E 0b100001011110  2782 0xADE 0b101011011110  3422 0xD5E 0b110101011110  4062 0xFDE 0b111111011110
863 0x35F 0b1101011111  1503 0x5DF 0b10111011111  2143 0x85F 0b100001011111  2783 0xADF 0b101011011111  3423 0xD5F 0b110101011111  4063 0xFDF 0b111111011111
864 0x360 0b1101100000  1504 0x5E0 0b10111100000  2144 0x860 0b100001100000  2784 0xAE0 0b101011100000  3424 0xD60 0b110101100000  4064 0xFE0 0b111111100000
865 0x361 0b1101100001  1505 0x5E1 0b10111100001  2145 0x861 0b100001100001  2785 0xAE1 0b101011100001  3425 0xD61 0b110101100001  4065 0xFE1 0b111111100001
866 0x362 0b1101100010  1506 0x5E2 0b10111100010  2146 0x862 0b100001100010  2786 0xAE2 0b101011100010  3426 0xD62 0b110101100010  4066 0xFE2 0b111111100010
867 0x363 0b1101100011  1507 0x5E3 0b10111100011  2147 0x863 0b100001100011  2787 0xAE3 0b101011100011  3427 0xD63 0b110101100011  4067 0xFE3 0b111111100011
